,mach_id,asm_id,asm_name,par_id,ile,name
129,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26568,1,DIN_127_M6_Zn_HV200
130,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26571,1,DIN_912_M6x12_Zn_KL8.8
131,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26574,1,DIN_912_M6x12_Zn_KL8.8
132,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26577,1,DIN_912_M6x12_Zn_KL8.8
133,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26580,1,DIN_912_M6x12_Zn_KL8.8
134,032P,id13,032P_01.00.00.000_Modul_rolkowy,id19,1,
135,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1198,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
136,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1201,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
137,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1204,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
138,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1207,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
139,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1210,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
140,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1213,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
141,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1216,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
142,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1219,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
143,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1222,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
144,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1228,1,
145,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1844,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
146,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1847,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
147,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1850,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
148,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1853,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
149,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1856,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
150,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1859,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
151,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1862,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
152,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1865,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
153,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1868,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
154,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1871,1,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ
155,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1877,1,
156,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2077,1,
157,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2269,1,DIN_127_M8_Zn_HV200
158,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2312,1,DIN_934_M12_Zn_KL8
159,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2344,1,DIN_125_M12_Zn_HV200
160,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2376,1,DIN_9021_M8_Zn_HV200
161,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2379,1,DIN_934_M12_Zn_KL8
162,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2385,1,
163,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2794,1,DIN_933_M12x40_Zn_KL8.8
164,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2797,1,DIN_933_M12x40_Zn_KL8.8
165,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2800,1,DIN_934_M12_Zn_KL8
166,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2803,1,
167,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2910,1,
168,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3017,1,
169,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3124,1,
170,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3231,1,
171,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3341,1,
172,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3721,1,DIN_125_M8_Zn_HV200
173,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3724,1,DIN_125_M8_Zn_HV200
174,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3727,1,DIN_125_M8_Zn_HV200
175,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3730,1,DIN_125_M12_Zn_HV200
