,mach_id,asm_id,asm_name,par_id,ile,id,name
186,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4273,,id4273,DIN_9021_M8_Zn_HV200
187,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4422,,id4422,Kolo_lancuchowe_z_piasta_SM_10B-1_z16_d25
188,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4481,,id4481,032P_01.00.00.001_Plaskownik_spinajacy
189,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4517,,id4517,DIN_127_M10_Zn_HV200
190,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4520,,id4520,DIN_127_M10_Zn_HV200
191,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4552,,id4552,DIN_125_M10_Zn_HV200
192,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4555,,id4555,DIN_125_M10_Zn_HV200
193,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4558,,id4558,DIN_125_M12_Zn_HV200
194,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4561,,id4561,DIN_9021_M8_Zn_HV200
195,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4946,,id4946,032P_01.00.00.001_Plaskownik_spinajacy
196,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5557,,id5557,"Motoreduktor_CHM_50_7,5_80_B14_V6_CHT_80_D4_1.10_Kw_230-400V-50Hz_1_CHT_MVS_DX_PC_SX"
197,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5560,,id5560,DIN_934_M8_Zn_KL8
198,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5670,,id5670,DIN_934_M8_Zn_KL8
199,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5710,,id5710,DIN_125_M12_Zn_HV200
200,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5852,,id5852,DIN_933_M8x30_Zn_KL8.8
201,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5855,,id5855,DIN_933_M8x30_Zn_KL8.8
202,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5858,,id5858,DIN_933_M8x30_Zn_KL8.8
203,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5861,,id5861,DIN_933_M8x30_Zn_KL8.8
204,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6271,,id6271,DIN_127_M12_Zn_HV200
205,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6737,,id6737,DIN_127_M12_Zn_HV200
206,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6740,,id6740,DIN_934_M12_Zn_KL8
207,032P,id13,032P_01.00.00.000_Modul_rolkowy,id6743,,id6743,DIN_933_M10x30_Zn_KL8.8
